pair_ID	entailment_judgment	relatedness_score
501	NEUTRAL	3.8150883
502	ENTAILMENT	4.64499363
503	NEUTRAL	4.07540817
504	NEUTRAL	3.67906931
509	CONTRADICTION	3.98851134
510	NEUTRAL	4.16281363
511	ENTAILMENT	3.7414139
512	NEUTRAL	2.5804946
517	NEUTRAL	4.0402031
518	NEUTRAL	4.50357168
519	NEUTRAL	4.02003972
521	NEUTRAL	4.12690108
523	CONTRADICTION	3.42820264
525	NEUTRAL	3.75695809
532	NEUTRAL	3.77849288
533	NEUTRAL	4.50472285
534	NEUTRAL	4.01445639
536	NEUTRAL	4.29005862
537	NEUTRAL	4.0405043
539	NEUTRAL	3.89014199
540	NEUTRAL	4.04931769
543	NEUTRAL	4.14278954
544	NEUTRAL	4.30152057
546	NEUTRAL	4.23477359
547	NEUTRAL	2.85571515
549	NEUTRAL	3.16231569
553	NEUTRAL	3.01642676
554	NEUTRAL	4.33566725
558	NEUTRAL	4.46896336
559	NEUTRAL	4.32955853
562	NEUTRAL	4.13374607
563	ENTAILMENT	4.03346663
566	NEUTRAL	4.0763669
567	NEUTRAL	4.42730654
569	NEUTRAL	4.28322421
571	CONTRADICTION	4.07918895
572	ENTAILMENT	4.2586646
573	NEUTRAL	4.01563659
574	CONTRADICTION	3.29946223
575	NEUTRAL	3.90420994
576	NEUTRAL	3.86477917
577	NEUTRAL	3.75152241
578	NEUTRAL	3.03316555
579	NEUTRAL	3.96924198
580	NEUTRAL	4.55827891
582	ENTAILMENT	4.47168353
583	NEUTRAL	3.12682443
584	NEUTRAL	4.33333489
585	ENTAILMENT	4.41206207
589	NEUTRAL	3.18282629
590	ENTAILMENT	4.13750225
591	NEUTRAL	4.15184286
593	ENTAILMENT	4.5944934
594	CONTRADICTION	4.10237125
595	NEUTRAL	3.45041144
596	CONTRADICTION	3.12109813
598	NEUTRAL	3.76245898
600	NEUTRAL	4.69755232
602	NEUTRAL	3.51536351
607	CONTRADICTION	3.17065685
608	NEUTRAL	3.01839898
610	NEUTRAL	3.21611931
612	NEUTRAL	3.19800332
613	NEUTRAL	4.89216908
614	NEUTRAL	4.70618582
615	NEUTRAL	4.67244124
616	NEUTRAL	4.26824699
618	NEUTRAL	3.37049397
620	NEUTRAL	3.22735487
623	NEUTRAL	3.69729504
624	NEUTRAL	4.34184585
627	NEUTRAL	4.04329363
633	NEUTRAL	4.08387163
635	NEUTRAL	4.04484984
636	NEUTRAL	3.6512917
639	NEUTRAL	4.62843607
640	NEUTRAL	4.55493442
642	NEUTRAL	4.88976831
644	NEUTRAL	3.76876924
652	ENTAILMENT	4.71971412
654	NEUTRAL	4.19350829
656	ENTAILMENT	4.72040388
658	NEUTRAL	4.59457042
659	NEUTRAL	3.78738009
662	NEUTRAL	3.99638126
664	NEUTRAL	3.87538649
665	NEUTRAL	4.62112329
666	NEUTRAL	4.14358094
667	ENTAILMENT	4.81853553
669	NEUTRAL	4.51931544
670	NEUTRAL	4.07818888
673	NEUTRAL	4.05852406
674	NEUTRAL	3.8033906
675	NEUTRAL	4.04289301
677	NEUTRAL	4.33499889
681	NEUTRAL	3.70134553
682	ENTAILMENT	4.38276417
683	CONTRADICTION	4.01203963
684	NEUTRAL	3.86283415
686	NEUTRAL	4.15409597
688	NEUTRAL	4.07423534
694	ENTAILMENT	4.42052849
695	NEUTRAL	4.14900505
700	NEUTRAL	3.52776303
701	NEUTRAL	3.97975751
705	ENTAILMENT	4.35342494
706	CONTRADICTION	4.04467463
707	ENTAILMENT	4.10395995
708	NEUTRAL	3.25603855
710	NEUTRAL	3.41439135
711	NEUTRAL	3.95036216
712	NEUTRAL	3.84327539
713	ENTAILMENT	4.69644939
714	NEUTRAL	4.29224529
716	ENTAILMENT	4.25839588
719	NEUTRAL	3.06324943
720	NEUTRAL	3.10234233
721	NEUTRAL	3.61732811
724	NEUTRAL	3.53883003
726	ENTAILMENT	4.74027491
739	NEUTRAL	4.38886403
740	ENTAILMENT	3.88763418
742	NEUTRAL	3.76478445
743	NEUTRAL	3.78815401
744	NEUTRAL	3.62130428
750	NEUTRAL	3.58559844
751	NEUTRAL	3.20634497
753	CONTRADICTION	4.84228775
755	NEUTRAL	3.81279926
756	ENTAILMENT	4.03756043
758	NEUTRAL	3.8339947
763	ENTAILMENT	4.39188344
767	ENTAILMENT	3.25843095
770	NEUTRAL	3.60233981
771	ENTAILMENT	4.01615115
773	ENTAILMENT	4.2635872
775	CONTRADICTION	4.28230362
776	NEUTRAL	2.61357894
778	NEUTRAL	2.5068352
779	NEUTRAL	2.83414948
781	NEUTRAL	4.79233259
782	CONTRADICTION	4.31815613
786	NEUTRAL	3.64672148
787	NEUTRAL	3.85940845
788	NEUTRAL	4.10267097
790	NEUTRAL	4.03580342
794	NEUTRAL	4.57746337
795	NEUTRAL	4.05710885
798	CONTRADICTION	3.70300092
800	NEUTRAL	2.49992378
801	NEUTRAL	3.4772633
803	NEUTRAL	2.9555162
805	NEUTRAL	3.49633161
806	NEUTRAL	3.05742101
807	NEUTRAL	3.75839939
808	NEUTRAL	3.89389374
809	CONTRADICTION	3.6510685
810	NEUTRAL	2.58699851
814	NEUTRAL	2.50933539
815	NEUTRAL	2.63835842
817	NEUTRAL	4.46839934
818	NEUTRAL	4.62915315
819	CONTRADICTION	4.21220797
821	NEUTRAL	2.6470751
823	ENTAILMENT	3.96096653
826	NEUTRAL	2.48170862
828	CONTRADICTION	4.36989144
829	NEUTRAL	4.76973916
832	NEUTRAL	4.27248992
833	NEUTRAL	4.19380998
834	NEUTRAL	3.6600384
835	NEUTRAL	3.88737628
837	CONTRADICTION	4.07748607
838	ENTAILMENT	4.5817565
840	ENTAILMENT	4.02761335
842	NEUTRAL	3.99828592
843	NEUTRAL	3.99324816
847	NEUTRAL	2.61126529
849	NEUTRAL	2.38462135
850	NEUTRAL	2.72943665
853	NEUTRAL	4.10628344
854	NEUTRAL	3.27772172
856	ENTAILMENT	4.42205148
861	CONTRADICTION	3.82542542
863	NEUTRAL	3.63424124
865	CONTRADICTION	4.36047466
871	NEUTRAL	3.45462853
875	NEUTRAL	4.28395482
877	NEUTRAL	4.4907735
884	NEUTRAL	2.97740842
885	NEUTRAL	2.74261736
886	NEUTRAL	3.48363556
890	NEUTRAL	4.68587652
891	NEUTRAL	3.65140662
894	ENTAILMENT	3.72866445
896	NEUTRAL	3.82408723
897	CONTRADICTION	3.79788257
900	CONTRADICTION	4.53866478
901	NEUTRAL	4.46951433
903	ENTAILMENT	4.84873949
905	NEUTRAL	4.31345697
907	ENTAILMENT	4.55339469
911	NEUTRAL	4.41618614
912	ENTAILMENT	4.66686456
914	NEUTRAL	4.35056548
916	ENTAILMENT	4.06417162
918	NEUTRAL	3.24933211
919	NEUTRAL	2.74986875
921	CONTRADICTION	2.88859697
923	NEUTRAL	4.33964121
924	CONTRADICTION	3.89646602
925	NEUTRAL	3.79291272
926	CONTRADICTION	4.70875097
928	NEUTRAL	4.05665582
929	NEUTRAL	4.14679968
930	NEUTRAL	4.42232758
934	ENTAILMENT	4.78619312
937	NEUTRAL	4.59384744
938	NEUTRAL	4.38719314
939	NEUTRAL	4.45064214
941	NEUTRAL	3.89546004
942	NEUTRAL	3.93756473
946	NEUTRAL	3.57609405
951	NEUTRAL	4.34423406
952	ENTAILMENT	4.53366048
954	NEUTRAL	2.69513064
955	NEUTRAL	3.13553225
958	ENTAILMENT	4.25681998
964	CONTRADICTION	4.34357038
965	ENTAILMENT	4.71625348
966	NEUTRAL	4.221625
968	NEUTRAL	3.93131304
969	NEUTRAL	3.85139138
971	NEUTRAL	2.92587269
972	NEUTRAL	4.00721571
974	NEUTRAL	3.28725366
976	ENTAILMENT	4.44561692
977	ENTAILMENT	4.08422967
981	NEUTRAL	2.51758229
982	NEUTRAL	3.96450394
983	NEUTRAL	3.07514793
986	NEUTRAL	4.48528442
990	ENTAILMENT	4.67836318
992	NEUTRAL	2.50425529
993	NEUTRAL	2.49280269
995	NEUTRAL	2.36217225
997	NEUTRAL	3.53803518
999	NEUTRAL	4.79597212
1001	ENTAILMENT	4.57320765
1003	NEUTRAL	3.22929497
1005	NEUTRAL	1.61971029
1006	NEUTRAL	2.00438012
1011	ENTAILMENT	4.69174481
1012	NEUTRAL	3.65549008
1013	NEUTRAL	4.46982562
1014	NEUTRAL	3.61811926
1015	NEUTRAL	4.0442462
1017	NEUTRAL	3.87310925
1020	NEUTRAL	3.24558356
1023	NEUTRAL	3.81290237
1024	NEUTRAL	3.88233261
1025	NEUTRAL	3.49317292
1027	NEUTRAL	3.9147582
1030	NEUTRAL	3.58071914
1032	NEUTRAL	4.70611397
1034	NEUTRAL	4.49394007
1035	ENTAILMENT	4.87782281
1036	CONTRADICTION	4.52149227
1040	NEUTRAL	3.85728527
1041	ENTAILMENT	4.51173418
1042	NEUTRAL	3.56617306
1051	NEUTRAL	2.78675024
1056	NEUTRAL	3.83660881
1058	ENTAILMENT	4.71239395
1059	NEUTRAL	4.6790057
1060	NEUTRAL	4.53957233
1062	CONTRADICTION	4.2140964
1063	NEUTRAL	4.4932476
1066	NEUTRAL	3.71445598
1067	NEUTRAL	4.22826451
1070	NEUTRAL	4.28512174
1071	ENTAILMENT	4.62918441
1072	NEUTRAL	3.60882355
1073	NEUTRAL	4.73604724
1075	NEUTRAL	4.44440596
1077	CONTRADICTION	3.96209899
1078	NEUTRAL	4.12972068
1079	CONTRADICTION	4.79278341
1081	NEUTRAL	4.50040954
1085	ENTAILMENT	4.52863797
1086	NEUTRAL	4.25705572
1089	NEUTRAL	4.15948859
1098	CONTRADICTION	4.60201683
1100	NEUTRAL	1
1101	NEUTRAL	1.13647917
1103	NEUTRAL	1.06570163
1106	ENTAILMENT	4.49004289
1107	NEUTRAL	3.85643777
1110	CONTRADICTION	4.10447376
1113	NEUTRAL	1.34862611
1114	NEUTRAL	1.59219537
1116	NEUTRAL	1.14937356
1121	ENTAILMENT	4.67071277
1123	ENTAILMENT	4.71079147
1124	CONTRADICTION	3.69952109
1126	NEUTRAL	4.41391506
1127	NEUTRAL	3.60365979
1130	CONTRADICTION	3.95583131
1131	ENTAILMENT	4.7300099
1132	NEUTRAL	4.11990968
1134	NEUTRAL	4.52726115
1136	CONTRADICTION	3.4465994
1138	NEUTRAL	4.28952413
1139	NEUTRAL	3.22604055
1140	CONTRADICTION	3.92615937
1141	NEUTRAL	4.43343912
1142	CONTRADICTION	3.77148228
1143	NEUTRAL	1.01802973
1144	NEUTRAL	1.18533988
1146	NEUTRAL	1.00497674
1148	NEUTRAL	3.31576509
1150	NEUTRAL	4.39581778
1151	CONTRADICTION	3.72518634
1152	NEUTRAL	4.48138306
1156	NEUTRAL	4.38250505
1158	NEUTRAL	4.41358777
1159	NEUTRAL	4.19463288
1160	NEUTRAL	4.31454735
1163	NEUTRAL	4.11451288
1164	NEUTRAL	3.34820027
1166	ENTAILMENT	4.73020184
1168	ENTAILMENT	4.52002465
1171	CONTRADICTION	3.01195252
1172	ENTAILMENT	4.78009671
1173	CONTRADICTION	3.07437475
1174	NEUTRAL	4.49508386
1176	CONTRADICTION	3.93572601
1181	NEUTRAL	1.48137039
1183	NEUTRAL	1.42720454
1185	NEUTRAL	4.50451934
1186	NEUTRAL	4.16149907
1187	NEUTRAL	4.3076283
1189	NEUTRAL	4.02808263
1197	CONTRADICTION	3.86316857
1198	NEUTRAL	4.54399268
1199	NEUTRAL	3.54734516
1201	NEUTRAL	4.46235116
1203	NEUTRAL	3.700437
1204	NEUTRAL	4.44561471
1208	NEUTRAL	4.23735498
1209	CONTRADICTION	3.73915881
1210	NEUTRAL	3.67616408
1211	CONTRADICTION	2.99320755
1216	CONTRADICTION	3.80714358
1217	NEUTRAL	4.41075095
1218	NEUTRAL	4.23277148
1220	NEUTRAL	3.9560171
1223	NEUTRAL	4.30455204
1224	ENTAILMENT	3.9110313
1225	CONTRADICTION	2.57625093
1226	NEUTRAL	4.49620796
1229	NEUTRAL	2.33054876
1231	NEUTRAL	2.22699522
1233	NEUTRAL	4.37805
1234	CONTRADICTION	4.06130871
1235	NEUTRAL	3.4693422
1238	NEUTRAL	3.38272788
1243	CONTRADICTION	3.83617571
1245	CONTRADICTION	3.03962468
1247	NEUTRAL	3.28610717
1250	NEUTRAL	4.16536352
1252	CONTRADICTION	3.95556628
1253	NEUTRAL	4.58751701
1254	NEUTRAL	4.43164913
1256	NEUTRAL	4.16253409
1257	ENTAILMENT	4.45525025
1258	NEUTRAL	2.23740912
1260	ENTAILMENT	4.83060284
1261	CONTRADICTION	4.17562239
1262	ENTAILMENT	4.58989735
1263	CONTRADICTION	3.82880903
1264	NEUTRAL	4.3376984
1265	CONTRADICTION	3.69427145
1267	CONTRADICTION	3.95778519
1269	NEUTRAL	4.41674352
1272	CONTRADICTION	4.31465686
1277	NEUTRAL	2.10214387
1278	NEUTRAL	2.98597117
1279	NEUTRAL	2.20667165
1281	CONTRADICTION	3.4394291
1285	NEUTRAL	3.3813075
1286	NEUTRAL	2.5923237
1288	CONTRADICTION	3.87042082
1289	NEUTRAL	4.33646898
1290	NEUTRAL	4.449301
1295	NEUTRAL	4.32698404
1296	NEUTRAL	4.51183311
1298	NEUTRAL	4.64963742
1299	ENTAILMENT	4.72263116
1300	CONTRADICTION	3.39985462
1301	NEUTRAL	3.4210161
1304	NEUTRAL	4.26777993
1306	NEUTRAL	1.27307424
1307	NEUTRAL	2.51770669
1309	ENTAILMENT	4.07886019
1310	CONTRADICTION	3.32627692
1312	CONTRADICTION	4.58619334
1313	NEUTRAL	1.84908573
1314	NEUTRAL	2.13960821
1315	NEUTRAL	1.08881244
1316	NEUTRAL	1.12146171
1320	NEUTRAL	4.31791743
1322	CONTRADICTION	2.5196746
1323	NEUTRAL	4.54008418
1324	ENTAILMENT	4.8805105
1325	NEUTRAL	2.36890342
1327	NEUTRAL	4.36639364
1330	NEUTRAL	4.45595011
1331	ENTAILMENT	4.61468606
1332	CONTRADICTION	4.26237058
1334	NEUTRAL	3.84474622
1337	ENTAILMENT	4.45153591
1338	CONTRADICTION	3.85441621
1339	ENTAILMENT	4.51265551
1340	NEUTRAL	4.39898632
1343	ENTAILMENT	4.33258927
1347	CONTRADICTION	3.6318048
1348	NEUTRAL	4.49558685
1349	NEUTRAL	4.10769078
1351	ENTAILMENT	4.59734744
1353	NEUTRAL	4.59892581
1356	CONTRADICTION	3.72347805
1357	NEUTRAL	4.61298958
1360	ENTAILMENT	4.7381724
1362	NEUTRAL	4.59686808
1363	CONTRADICTION	3.53753343
1364	ENTAILMENT	4.68103512
1366	NEUTRAL	3.74458982
1367	ENTAILMENT	4.57189235
1369	ENTAILMENT	4.66174706
1370	CONTRADICTION	3.80434761
1374	CONTRADICTION	3.43727023
1375	ENTAILMENT	4.70021836
1377	CONTRADICTION	4.22265805
1382	NEUTRAL	3.55425684
1383	CONTRADICTION	3.63773781
1391	NEUTRAL	1.13963552
1392	NEUTRAL	1.02905132
1393	NEUTRAL	1.13383859
1394	NEUTRAL	3.00796588
1395	NEUTRAL	3.15284601
1397	NEUTRAL	2.64615562
1398	NEUTRAL	3.82295895
1401	NEUTRAL	3.34857677
1402	NEUTRAL	2.8518678
1406	CONTRADICTION	3.85344419
1411	NEUTRAL	2.03126716
1413	NEUTRAL	4.23033626
1416	ENTAILMENT	4.75783697
1418	ENTAILMENT	4.58440581
1420	ENTAILMENT	4.71981526
1422	NEUTRAL	4.2100026
1423	ENTAILMENT	4.38134281
1424	CONTRADICTION	3.97273264
1425	NEUTRAL	1.13277233
1426	NEUTRAL	1.21412531
1428	NEUTRAL	2.20025669
1430	ENTAILMENT	4.72152798
1433	CONTRADICTION	3.74020909
1436	NEUTRAL	4.46842026
1437	NEUTRAL	3.5937132
1439	NEUTRAL	3.69732999
1440	CONTRADICTION	2.8453421
1441	NEUTRAL	4.39587487
1442	NEUTRAL	3.43810174
1445	NEUTRAL	3.85622294
1447	NEUTRAL	2.81107435
1449	ENTAILMENT	4.63148009
1450	NEUTRAL	4.41433217
1451	CONTRADICTION	3.26822054
1452	NEUTRAL	2.39774115
1454	NEUTRAL	2.71567027
1456	NEUTRAL	2.31997036
1457	NEUTRAL	4.06482177
1459	NEUTRAL	3.95976565
1460	NEUTRAL	3.29844493
1462	NEUTRAL	2.22748369
1465	NEUTRAL	1.3067728
1468	ENTAILMENT	4.35383097
1471	NEUTRAL	1.99977385
1472	NEUTRAL	2.85909335
1475	NEUTRAL	4.53794303
1477	ENTAILMENT	4.72899161
1478	CONTRADICTION	3.85265476
1485	NEUTRAL	4.14460193
1490	ENTAILMENT	4.66895871
1491	NEUTRAL	3.943654
1492	NEUTRAL	4.02441873
1496	CONTRADICTION	4.12967048
1497	ENTAILMENT	4.58364443
1500	CONTRADICTION	3.64445729
1502	ENTAILMENT	4.40594253
1507	NEUTRAL	3.27648812
1508	NEUTRAL	4.2986397
1510	NEUTRAL	3.54124457
1512	NEUTRAL	2.62980293
1515	NEUTRAL	1.5594783
1516	NEUTRAL	1.85760739
1518	NEUTRAL	1.94391669
1520	NEUTRAL	4.18038553
1522	NEUTRAL	4.27582087
1526	NEUTRAL	3.77319082
1528	NEUTRAL	3.95977451
1529	NEUTRAL	3.66041244
1530	NEUTRAL	3.64251522
1533	NEUTRAL	1.29646828
1537	NEUTRAL	1.13871641
1539	CONTRADICTION	3.54817372
1540	ENTAILMENT	3.21523711
1542	ENTAILMENT	3.01314909
1543	CONTRADICTION	1.99455891
1544	NEUTRAL	2.79341534
1546	NEUTRAL	2.35506999
1548	CONTRADICTION	3.01500847
1554	CONTRADICTION	2.52432171
1555	ENTAILMENT	4.58900727
1556	NEUTRAL	3.92860098
1560	NEUTRAL	3.87280928
1561	NEUTRAL	4.24512326
1562	NEUTRAL	3.44509708
1564	NEUTRAL	4.18114002
1567	NEUTRAL	4.51707635
1568	NEUTRAL	4.45133954
1569	NEUTRAL	4.00724868
1571	NEUTRAL	4.20003386
1572	NEUTRAL	2.27404822
1577	NEUTRAL	3.54642211
1578	ENTAILMENT	4.95159146
1579	CONTRADICTION	4.69003283
1581	CONTRADICTION	4.36346946
1583	CONTRADICTION	3.80278155
1589	ENTAILMENT	4.16708929
1590	ENTAILMENT	4.11274996
1593	NEUTRAL	3.99265018
1594	NEUTRAL	3.52707696
1596	ENTAILMENT	5
1597	ENTAILMENT	3.9392996
1598	ENTAILMENT	4.75786281
1600	NEUTRAL	4.30856291
1602	ENTAILMENT	4.11030613
1603	NEUTRAL	4.35446684
1605	NEUTRAL	4.38567728
1611	CONTRADICTION	4.76177205
1613	NEUTRAL	4.6195496
1616	NEUTRAL	3.98395171
1617	ENTAILMENT	4.91099082
1619	ENTAILMENT	4.85041334
1620	ENTAILMENT	4.4359083
1622	ENTAILMENT	2.55810406
1623	NEUTRAL	1.71326717
1624	NEUTRAL	1.61466428
1630	NEUTRAL	4.3426648
1633	NEUTRAL	4.26996956
1634	CONTRADICTION	3.65395971
1636	NEUTRAL	3.72220089
1637	NEUTRAL	4.2553056
1638	NEUTRAL	2.03404812
1642	NEUTRAL	3.97269327
1644	CONTRADICTION	4.17587905
1645	ENTAILMENT	4.60597283
1654	CONTRADICTION	3.85087338
1656	ENTAILMENT	4.92700084
1658	ENTAILMENT	4.72551105
1662	ENTAILMENT	3.9887621
1664	NEUTRAL	4.39613449
